date,num_orders,order_status,total_cbv,service
2016-01-24,50,No Driver Found,57788640,GO-BOX
2016-02-05,50,No Driver Found,37276330,GO-BOX
2016-02-25,50,No Driver Found,33941635,GO-BOX
2016-03-02,50,No Driver Found,32367790,GO-BOX
2016-03-04,50,No Driver Found,34340670,GO-BOX
2016-03-06,50,No Driver Found,29705130,GO-BOX
2016-03-08,50,No Driver Found,35030450,GO-BOX
2016-03-12,50,No Driver Found,25739350,GO-BOX
2016-03-19,50,No Driver Found,36737610,GO-BOX
2016-03-24,50,No Driver Found,24482413,GO-BOX
2016-03-31,50,No Driver Found,28159950,GO-BOX
2016-01-01,60,No Driver Found,28938142,GO-BOX
2016-01-09,60,No Driver Found,39497185,GO-BOX
2016-02-28,60,No Driver Found,33339670,GO-BOX
2016-03-05,60,No Driver Found,47338200,GO-BOX
2016-03-25,60,No Driver Found,33919340,GO-BOX
2016-03-26,60,No Driver Found,63375130,GO-BOX
2016-03-27,60,No Driver Found,158123875,GO-BOX
2016-04-01,60,No Driver Found,35188790,GO-BOX
2016-01-06,70,No Driver Found,38929800,GO-BOX
2016-01-08,70,No Driver Found,44452590,GO-BOX
2016-01-30,70,No Driver Found,47795020,GO-BOX
2016-01-31,70,No Driver Found,55066830,GO-BOX
2016-02-06,70,No Driver Found,57750420,GO-BOX
2016-02-26,70,No Driver Found,46931885,GO-BOX
2016-02-27,70,No Driver Found,45416280,GO-BOX
2016-01-01,180,Cancelled,76076000,GO-BOX
2016-01-06,190,Cancelled,74894820,GO-BOX
2016-01-07,200,Cancelled,83905185,GO-BOX
2016-01-02,210,Cancelled,92423695,GO-BOX
2016-01-05,210,Cancelled,90296570,GO-BOX
2016-02-08,220,Cancelled,108353700,GO-BOX
2016-01-03,230,Cancelled,104029380,GO-BOX
2016-01-24,230,Cancelled,110337045,GO-BOX
2016-02-20,230,Cancelled,120815695,GO-BOX
2016-02-21,230,Cancelled,88681775,GO-BOX
2016-01-17,240,Cancelled,100084985,GO-BOX
2016-01-18,240,Cancelled,124129005,GO-BOX
2016-01-20,240,Cancelled,172668405,GO-BOX
2016-01-23,240,Cancelled,108085705,GO-BOX
2016-02-10,240,Cancelled,106758470,GO-BOX
2016-01-04,250,Cancelled,107114280,GO-BOX
2016-01-10,250,Cancelled,108576650,GO-BOX
2016-02-29,250,Cancelled,118023815,GO-BOX
2016-01-16,260,Cancelled,107599310,GO-BOX
2016-01-21,260,Cancelled,109358795,GO-BOX
2016-02-07,260,Cancelled,136109155,GO-BOX
2016-02-24,260,Cancelled,181679680,GO-BOX
2016-01-15,270,Cancelled,143052455,GO-BOX
2016-02-09,270,Cancelled,125634600,GO-BOX
2016-01-11,280,Cancelled,143598000,GO-BOX
2016-03-09,280,Cancelled,109819710,GO-BOX
2016-01-13,290,Cancelled,135244655,GO-BOX
2016-02-01,290,Cancelled,122328115,GO-BOX
2016-02-13,290,Cancelled,128291345,GO-BOX
2016-02-14,290,Cancelled,146771170,GO-BOX
2016-02-19,290,Cancelled,114274615,GO-BOX
2016-01-08,300,Cancelled,123198530,GO-BOX
2016-01-19,300,Cancelled,126117355,GO-BOX
2016-02-03,300,Cancelled,114980775,GO-BOX
2016-02-11,300,Cancelled,136953635,GO-BOX
2016-01-31,310,Cancelled,156874900,GO-BOX
2016-02-15,310,Cancelled,148413265,GO-BOX
2016-02-17,310,Cancelled,158077465,GO-BOX
2016-03-06,310,Cancelled,134367415,GO-BOX
2016-03-10,310,Cancelled,209644890,GO-BOX
2016-03-20,310,Cancelled,115754053,GO-BOX
2016-01-09,320,Cancelled,142122890,GO-BOX
2016-01-12,320,Cancelled,152468225,GO-BOX
2016-02-12,320,Cancelled,147883645,GO-BOX
2016-03-01,320,Cancelled,161256550,GO-BOX
2016-03-07,320,Cancelled,165822475,GO-BOX
2016-01-14,330,Cancelled,172153800,GO-BOX
2016-02-02,330,Cancelled,144877005,GO-BOX
2016-02-04,330,Cancelled,155125425,GO-BOX
2016-02-16,330,Cancelled,146926780,GO-BOX
2016-02-28,330,Cancelled,164161270,GO-BOX
2016-03-22,330,Cancelled,138929973,GO-BOX
2016-01-22,340,Cancelled,127600655,GO-BOX
2016-01-25,340,Cancelled,132359045,GO-BOX
2016-02-05,340,Cancelled,227981390,GO-BOX
2016-02-18,340,Cancelled,133391440,GO-BOX
2016-02-22,340,Cancelled,176169630,GO-BOX
2016-02-23,340,Cancelled,274722175,GO-BOX
2016-03-11,340,Cancelled,168662585,GO-BOX
2016-03-21,340,Cancelled,108894695,GO-BOX
2016-03-28,340,Cancelled,169344812,GO-BOX
2016-01-26,350,Cancelled,140924875,GO-BOX
2016-01-28,360,Cancelled,136511972,GO-BOX
2016-02-27,360,Cancelled,156724750,GO-BOX
2016-03-03,360,Cancelled,152638668,GO-BOX
2016-03-08,360,Cancelled,188746740,GO-BOX
2016-03-12,370,Cancelled,205414573,GO-BOX
2016-01-29,380,Cancelled,170249170,GO-BOX
2016-01-30,380,Cancelled,175626360,GO-BOX
2016-03-02,380,Cancelled,169133965,GO-BOX
2016-03-15,380,Cancelled,183468649,GO-BOX
2016-03-19,380,Cancelled,183354353,GO-BOX
2016-03-25,380,Cancelled,181504050,GO-BOX
2016-03-23,390,Cancelled,204679930,GO-BOX
2016-03-27,390,Cancelled,191376185,GO-BOX
2016-02-06,400,Cancelled,195415220,GO-BOX
2016-03-26,400,Cancelled,216383167,GO-BOX
2016-03-29,400,Cancelled,169786981,GO-BOX
2016-01-27,410,Cancelled,144253200,GO-BOX
2016-02-25,410,Cancelled,207065040,GO-BOX
2016-02-26,410,Cancelled,197348515,GO-BOX
2016-03-05,410,Cancelled,159906252,GO-BOX
2016-03-16,410,Cancelled,178986080,GO-BOX
2016-03-24,410,Cancelled,161797909,GO-BOX
2016-03-13,430,Cancelled,283304840,GO-BOX
2016-04-01,430,Cancelled,188994078,GO-BOX
2016-01-07,440,Completed,189356895,GO-BOX
2016-03-18,440,Cancelled,136140328,GO-BOX
2016-03-31,440,Cancelled,162509256,GO-BOX
2016-01-19,450,Completed,168752675,GO-BOX
2016-01-05,460,Completed,175245070,GO-BOX
2016-02-09,460,Completed,181104560,GO-BOX
2016-02-24,460,Completed,200283771,GO-BOX
2016-03-04,460,Cancelled,188664527,GO-BOX
2016-01-01,470,Completed,193458265,GO-BOX
2016-01-20,470,Completed,194783225,GO-BOX
2016-03-17,470,Cancelled,157291225,GO-BOX
2016-01-12,480,Completed,185987620,GO-BOX
2016-01-13,510,Completed,192837190,GO-BOX
2016-02-08,510,Completed,189593495,GO-BOX
2016-02-23,510,Completed,190376550,GO-BOX
2016-03-30,510,Cancelled,195849927,GO-BOX
2016-01-21,520,Completed,198339960,GO-BOX
2016-01-04,530,Completed,204307740,GO-BOX
2016-01-06,530,Completed,213135195,GO-BOX
2016-01-14,530,Completed,203928270,GO-BOX
2016-02-10,530,Completed,201145490,GO-BOX
2016-02-17,530,Completed,201636890,GO-BOX
2016-01-11,540,Completed,215364240,GO-BOX
2016-02-16,540,Completed,209273610,GO-BOX
2016-03-14,540,Cancelled,244804560,GO-BOX
2016-01-25,550,Completed,218562435,GO-BOX
2016-01-22,560,Completed,240002945,GO-BOX
2016-01-26,570,Completed,220841075,GO-BOX
2016-01-18,580,Completed,228936435,GO-BOX
2016-02-15,580,Completed,226409365,GO-BOX
2016-02-22,580,Completed,216366605,GO-BOX
2016-01-17,600,Completed,228171580,GO-BOX
2016-02-18,600,Completed,227949540,GO-BOX
2016-02-29,600,Completed,243264840,GO-BOX
2016-03-22,600,Completed,198773302,GO-BOX
2016-01-02,610,Completed,241902115,GO-BOX
2016-01-24,610,Completed,235249105,GO-BOX
2016-02-21,610,Completed,232645140,GO-BOX
2016-01-03,620,Completed,229783645,GO-BOX
2016-03-07,620,Completed,237993210,GO-BOX
2016-03-10,620,Completed,238736043,GO-BOX
2016-03-15,620,Completed,209864473,GO-BOX
2016-02-11,630,Completed,232698830,GO-BOX
2016-01-27,640,Completed,244140260,GO-BOX
2016-01-15,650,Completed,255906560,GO-BOX
2016-02-12,650,Completed,271241425,GO-BOX
2016-02-03,660,Completed,250832400,GO-BOX
2016-02-04,660,Completed,238826315,GO-BOX
2016-01-10,670,Completed,261310140,GO-BOX
2016-01-28,670,Completed,262115490,GO-BOX
2016-02-02,670,Completed,258597430,GO-BOX
2016-02-07,670,Completed,247287950,GO-BOX
2016-02-19,670,Completed,275279550,GO-BOX
2016-03-03,670,Completed,260762320,GO-BOX
2016-03-14,680,Completed,234393341,GO-BOX
2016-03-16,680,Completed,229905403,GO-BOX
2016-03-21,680,Completed,247594347,GO-BOX
2016-01-08,700,Completed,297318840,GO-BOX
2016-03-17,700,Completed,237442751,GO-BOX
2016-03-08,710,Completed,269548370,GO-BOX
2016-03-11,710,Completed,275806349,GO-BOX
2016-01-16,720,Completed,263060980,GO-BOX
2016-01-23,720,Completed,285502945,GO-BOX
2016-02-14,720,Completed,255986640,GO-BOX
2016-03-09,720,Completed,281830185,GO-BOX
2016-02-01,730,Completed,279306755,GO-BOX
2016-03-02,730,Completed,265222276,GO-BOX
2016-02-06,740,Completed,286062140,GO-BOX
2016-03-23,750,Completed,269699339,GO-BOX
2016-01-09,760,Completed,294996520,GO-BOX
2016-02-20,760,Completed,292849375,GO-BOX
2016-02-25,760,Completed,294218470,GO-BOX
2016-03-01,780,Completed,280397390,GO-BOX
2016-03-12,790,Completed,293459621,GO-BOX
2016-02-05,810,Completed,323747515,GO-BOX
2016-02-13,820,Completed,315785015,GO-BOX
2016-03-29,820,Completed,292328309,GO-BOX
2016-03-06,840,Completed,308472255,GO-BOX
2016-03-18,850,Completed,305048289,GO-BOX
2016-03-13,860,Completed,337045618,GO-BOX
2016-03-20,860,Completed,266998368,GO-BOX
2016-03-04,870,Completed,346449740,GO-BOX
2016-03-28,870,Completed,289757741,GO-BOX
2016-01-29,900,Completed,375548810,GO-BOX
2016-02-26,930,Completed,384502755,GO-BOX
2016-03-05,930,Completed,353929485,GO-BOX
2016-02-27,950,Completed,365820910,GO-BOX
2016-03-19,950,Completed,329139083,GO-BOX
2016-03-24,970,Completed,363654064,GO-BOX
2016-03-27,970,Completed,326007045,GO-BOX
2016-03-25,990,Completed,356480397,GO-BOX
2016-03-26,1020,Completed,336321440,GO-BOX
2016-02-28,1050,Completed,378383460,GO-BOX
2016-01-31,1070,Completed,389115090,GO-BOX
2016-03-30,1070,Completed,345658222,GO-BOX
2016-03-31,1130,Completed,382258422,GO-BOX
2016-01-30,1180,Completed,441145250,GO-BOX
2016-04-01,1270,Completed,434948059,GO-BOX
2016-01-01,10,Cancelled,1960140,GO-CLEAN
2016-01-01,110,Completed,17510220,GO-CLEAN
2016-01-01,0,No Driver Found,555100,GO-CLEAN
2016-01-02,10,Cancelled,1492400,GO-CLEAN
2016-01-02,170,Completed,30080960,GO-CLEAN
2016-01-02,0,No Driver Found,564200,GO-CLEAN
2016-01-03,30,Cancelled,4786600,GO-CLEAN
2016-01-03,210,Completed,33074860,GO-CLEAN
2016-01-03,10,No Driver Found,664300,GO-CLEAN
2016-01-04,10,Cancelled,1756300,GO-CLEAN
2016-01-04,160,Completed,25536420,GO-CLEAN
2016-01-04,0,No Driver Found,773500,GO-CLEAN
2016-01-05,20,Cancelled,2866500,GO-CLEAN
2016-01-05,150,Completed,24409840,GO-CLEAN
2016-01-06,10,Cancelled,2466100,GO-CLEAN
2016-01-06,130,Completed,21284900,GO-CLEAN
2016-01-06,10,No Driver Found,1537900,GO-CLEAN
2016-01-07,10,Cancelled,1947400,GO-CLEAN
2016-01-07,120,Completed,17952480,GO-CLEAN
2016-01-08,0,Cancelled,391300,GO-CLEAN
2016-01-08,110,Completed,18787860,GO-CLEAN
2016-01-08,0,No Driver Found,163800,GO-CLEAN
2016-01-09,30,Cancelled,4904900,GO-CLEAN
2016-01-09,210,Completed,35651980,GO-CLEAN
2016-01-09,0,No Driver Found,737100,GO-CLEAN
2016-01-10,20,Cancelled,3549000,GO-CLEAN
2016-01-10,170,Completed,27563900,GO-CLEAN
2016-01-10,20,No Driver Found,3430700,GO-CLEAN
2016-01-11,10,Cancelled,2329600,GO-CLEAN
2016-01-11,120,Completed,19912620,GO-CLEAN
2016-01-11,0,No Driver Found,273000,GO-CLEAN
2016-01-12,10,Cancelled,2038400,GO-CLEAN
2016-01-12,100,Completed,16716700,GO-CLEAN
2016-01-12,0,No Driver Found,118300,GO-CLEAN
2016-01-13,20,Cancelled,3394300,GO-CLEAN
2016-01-13,90,Completed,15735720,GO-CLEAN
2016-01-14,10,Cancelled,2475200,GO-CLEAN
2016-01-14,100,Completed,17948840,GO-CLEAN
2016-01-15,30,Cancelled,4557280,GO-CLEAN
2016-01-15,120,Completed,19180980,GO-CLEAN
2016-01-15,0,No Driver Found,873600,GO-CLEAN
2016-01-16,20,Cancelled,2415140,GO-CLEAN
2016-01-16,180,Completed,33588100,GO-CLEAN
2016-01-16,0,No Driver Found,782600,GO-CLEAN
2016-01-17,10,Cancelled,2548000,GO-CLEAN
2016-01-17,160,Completed,26744900,GO-CLEAN
2016-01-17,10,No Driver Found,1292200,GO-CLEAN
2016-01-18,10,Cancelled,1820000,GO-CLEAN
2016-01-18,110,Completed,19679660,GO-CLEAN
2016-01-18,0,No Driver Found,172900,GO-CLEAN
2016-01-19,10,Cancelled,618800,GO-CLEAN
2016-01-19,90,Completed,17484740,GO-CLEAN
2016-01-20,0,Cancelled,555100,GO-CLEAN
2016-01-20,80,Completed,13999440,GO-CLEAN
2016-01-20,10,No Driver Found,1310400,GO-CLEAN
2016-01-21,10,Cancelled,1947400,GO-CLEAN
2016-01-21,90,Completed,15864940,GO-CLEAN
2016-01-21,0,No Driver Found,609700,GO-CLEAN
2016-01-22,10,Cancelled,1537900,GO-CLEAN
2016-01-22,90,Completed,14641900,GO-CLEAN
2016-01-22,0,No Driver Found,118300,GO-CLEAN
2016-01-23,20,Cancelled,2988440,GO-CLEAN
2016-01-23,170,Completed,28874300,GO-CLEAN
2016-01-23,0,No Driver Found,436800,GO-CLEAN
2016-01-24,10,Cancelled,2333240,GO-CLEAN
2016-01-24,190,Completed,32062940,GO-CLEAN
2016-01-24,0,No Driver Found,491400,GO-CLEAN
2016-01-25,10,Cancelled,2102100,GO-CLEAN
2016-01-25,110,Completed,17799600,GO-CLEAN
2016-01-25,0,No Driver Found,327600,GO-CLEAN
2016-01-26,10,Cancelled,1483300,GO-CLEAN
2016-01-26,130,Completed,24213280,GO-CLEAN
2016-01-26,0,Other,273000,GO-CLEAN
2016-01-27,10,Cancelled,2320500,GO-CLEAN
2016-01-27,90,Completed,14301560,GO-CLEAN
2016-01-28,10,Cancelled,2320500,GO-CLEAN
2016-01-28,100,Completed,17009720,GO-CLEAN
2016-01-28,10,Other,1856400,GO-CLEAN
2016-01-29,20,Cancelled,2566200,GO-CLEAN
2016-01-29,100,Completed,15892240,GO-CLEAN
2016-01-29,0,Other,600600,GO-CLEAN
2016-01-30,10,Cancelled,1501500,GO-CLEAN
2016-01-30,190,Completed,31125640,GO-CLEAN
2016-01-30,10,No Driver Found,1537900,GO-CLEAN
2016-01-30,0,Other,218400,GO-CLEAN
2016-01-31,20,Cancelled,2793700,GO-CLEAN
2016-01-31,240,Completed,40096420,GO-CLEAN
2016-01-31,10,No Driver Found,2056600,GO-CLEAN
2016-01-31,10,Other,773500,GO-CLEAN
2016-02-01,0,Cancelled,464100,GO-CLEAN
2016-02-01,110,Completed,19304740,GO-CLEAN
2016-02-01,0,No Driver Found,456820,GO-CLEAN
2016-02-01,10,Other,1374100,GO-CLEAN
2016-02-02,10,Cancelled,1829100,GO-CLEAN
2016-02-02,110,Completed,16361800,GO-CLEAN
2016-02-02,0,No Driver Found,236600,GO-CLEAN
2016-02-02,10,Other,2275000,GO-CLEAN
2016-02-03,10,Cancelled,2411500,GO-CLEAN
2016-02-03,130,Completed,22495200,GO-CLEAN
2016-02-03,30,Other,3983980,GO-CLEAN
2016-02-04,20,Cancelled,3594500,GO-CLEAN
2016-02-04,100,Completed,17508400,GO-CLEAN
2016-02-04,0,No Driver Found,345800,GO-CLEAN
2016-02-04,20,Other,2325960,GO-CLEAN
2016-02-05,30,Cancelled,4313400,GO-CLEAN
2016-02-05,120,Completed,20303920,GO-CLEAN
2016-02-05,0,No Driver Found,218400,GO-CLEAN
2016-02-05,30,Other,5208840,GO-CLEAN
2016-02-06,50,Cancelled,7622160,GO-CLEAN
2016-02-06,240,Completed,42507920,GO-CLEAN
2016-02-06,0,No Driver Found,618800,GO-CLEAN
2016-02-06,40,Other,5496400,GO-CLEAN
2016-02-07,30,Cancelled,4115020,GO-CLEAN
2016-02-07,190,Completed,32166680,GO-CLEAN
2016-02-07,10,No Driver Found,682500,GO-CLEAN
2016-02-07,50,Other,8854300,GO-CLEAN
2016-02-08,20,Cancelled,2548000,GO-CLEAN
2016-02-08,130,Completed,20853560,GO-CLEAN
2016-02-08,0,No Driver Found,718900,GO-CLEAN
2016-02-08,40,Other,6539260,GO-CLEAN
2016-02-09,10,Cancelled,1537900,GO-CLEAN
2016-02-09,130,Completed,21781760,GO-CLEAN
2016-02-09,10,No Driver Found,1255800,GO-CLEAN
2016-02-09,10,Other,1122940,GO-CLEAN
2016-02-10,10,Cancelled,793520,GO-CLEAN
2016-02-10,110,Completed,17988880,GO-CLEAN
2016-02-10,10,No Driver Found,718900,GO-CLEAN
2016-02-10,10,Other,1992900,GO-CLEAN
2016-02-11,10,Cancelled,728000,GO-CLEAN
2016-02-11,90,Completed,14831180,GO-CLEAN
2016-02-11,0,No Driver Found,673400,GO-CLEAN
2016-02-11,10,Other,800800,GO-CLEAN
2016-02-12,20,Cancelled,2932020,GO-CLEAN
2016-02-12,110,Completed,18452980,GO-CLEAN
2016-02-12,0,Other,118300,GO-CLEAN
2016-02-13,20,Cancelled,3596320,GO-CLEAN
2016-02-13,210,Completed,34052200,GO-CLEAN
2016-02-13,0,No Driver Found,118300,GO-CLEAN
2016-02-13,10,Other,784420,GO-CLEAN
2016-02-14,10,Cancelled,2056600,GO-CLEAN
2016-02-14,120,Completed,20358520,GO-CLEAN
2016-02-14,10,Other,1992900,GO-CLEAN
2016-02-15,10,Cancelled,1860040,GO-CLEAN
2016-02-15,120,Completed,20571460,GO-CLEAN
2016-02-15,0,No Driver Found,436800,GO-CLEAN
2016-02-15,10,Other,2156700,GO-CLEAN
2016-02-16,10,Cancelled,2111200,GO-CLEAN
2016-02-16,80,Completed,13875680,GO-CLEAN
2016-02-16,0,No Driver Found,273000,GO-CLEAN
2016-02-16,10,Other,691600,GO-CLEAN
2016-02-17,10,Cancelled,2211300,GO-CLEAN
2016-02-17,110,Completed,18487560,GO-CLEAN
2016-02-17,10,Other,1610700,GO-CLEAN
2016-02-18,10,Cancelled,862680,GO-CLEAN
2016-02-18,90,Completed,16480100,GO-CLEAN
2016-02-18,0,Other,131040,GO-CLEAN
2016-02-19,10,Cancelled,1428700,GO-CLEAN
2016-02-19,100,Completed,16576560,GO-CLEAN
2016-02-19,0,Other,172900,GO-CLEAN
2016-02-20,20,Cancelled,3194100,GO-CLEAN
2016-02-20,170,Completed,25649260,GO-CLEAN
2016-02-20,10,Other,2029300,GO-CLEAN
2016-02-21,20,Cancelled,2684500,GO-CLEAN
2016-02-21,180,Completed,28803320,GO-CLEAN
2016-02-21,10,Other,882700,GO-CLEAN
2016-02-22,10,Cancelled,1601600,GO-CLEAN
2016-02-22,110,Completed,13595400,GO-CLEAN
2016-02-22,0,No Driver Found,145600,GO-CLEAN
2016-02-22,0,Other,391300,GO-CLEAN
2016-02-23,20,Cancelled,2329600,GO-CLEAN
2016-02-23,130,Completed,17899700,GO-CLEAN
2016-02-23,0,Other,436800,GO-CLEAN
2016-02-24,30,Cancelled,3312400,GO-CLEAN
2016-02-24,110,Completed,15906800,GO-CLEAN
2016-02-24,10,Other,800800,GO-CLEAN
2016-02-25,10,Cancelled,1492400,GO-CLEAN
2016-02-25,110,Completed,15470000,GO-CLEAN
2016-02-25,0,No Driver Found,218400,GO-CLEAN
2016-02-25,20,Other,2256800,GO-CLEAN
2016-02-26,20,Cancelled,2147600,GO-CLEAN
2016-02-26,170,Completed,23296000,GO-CLEAN
2016-02-26,0,No Driver Found,509600,GO-CLEAN
2016-02-27,20,Cancelled,2802800,GO-CLEAN
2016-02-27,200,Completed,26790400,GO-CLEAN
2016-02-27,110,No Driver Found,14742000,GO-CLEAN
2016-02-27,40,Other,5387200,GO-CLEAN
2016-02-28,20,Cancelled,3130400,GO-CLEAN
2016-02-28,210,Completed,29047200,GO-CLEAN
2016-02-28,10,No Driver Found,1237600,GO-CLEAN
2016-02-28,40,Other,4804800,GO-CLEAN
2016-02-29,40,Cancelled,5168800,GO-CLEAN
2016-02-29,140,Completed,19182800,GO-CLEAN
2016-02-29,0,No Driver Found,291200,GO-CLEAN
2016-02-29,30,Other,3239600,GO-CLEAN
2016-03-01,30,Cancelled,3567200,GO-CLEAN
2016-03-01,170,Completed,23405200,GO-CLEAN
2016-03-01,0,No Driver Found,218400,GO-CLEAN
2016-03-01,0,Other,436800,GO-CLEAN
2016-03-02,20,Cancelled,2475200,GO-CLEAN
2016-03-02,140,Completed,18891600,GO-CLEAN
2016-03-02,0,No Driver Found,582400,GO-CLEAN
2016-03-02,10,Other,1565200,GO-CLEAN
2016-03-03,10,Cancelled,1783600,GO-CLEAN
2016-03-03,150,Completed,20311200,GO-CLEAN
2016-03-03,10,Other,1383200,GO-CLEAN
2016-03-04,10,Cancelled,2074800,GO-CLEAN
2016-03-04,140,Completed,18527600,GO-CLEAN
2016-03-04,10,Other,1892800,GO-CLEAN
2016-03-05,30,Cancelled,4440800,GO-CLEAN
2016-03-05,270,Completed,36509200,GO-CLEAN
2016-03-05,0,No Driver Found,400400,GO-CLEAN
2016-03-05,50,Other,6734000,GO-CLEAN
2016-03-06,30,Cancelled,3421600,GO-CLEAN
2016-03-06,250,Completed,34980400,GO-CLEAN
2016-03-06,10,No Driver Found,1164800,GO-CLEAN
2016-03-06,40,Other,5460000,GO-CLEAN
2016-03-07,20,Cancelled,3094000,GO-CLEAN
2016-03-07,130,Completed,17726800,GO-CLEAN
2016-03-07,10,No Driver Found,1201200,GO-CLEAN
2016-03-07,40,Other,5532800,GO-CLEAN
2016-03-08,10,Cancelled,2074800,GO-CLEAN
2016-03-08,130,Completed,18454800,GO-CLEAN
2016-03-08,10,No Driver Found,982800,GO-CLEAN
2016-03-08,0,Other,291200,GO-CLEAN
2016-03-09,50,Cancelled,7935200,GO-CLEAN
2016-03-09,250,Completed,34798400,GO-CLEAN
2016-03-09,10,No Driver Found,1674400,GO-CLEAN
2016-03-09,0,Other,327600,GO-CLEAN
2016-03-10,20,Cancelled,1965600,GO-CLEAN
2016-03-10,140,Completed,19364800,GO-CLEAN
2016-03-10,0,No Driver Found,291200,GO-CLEAN
2016-03-10,0,Other,145600,GO-CLEAN
2016-03-11,20,Cancelled,3785600,GO-CLEAN
2016-03-11,170,Completed,23441600,GO-CLEAN
2016-03-11,0,Other,145600,GO-CLEAN
2016-03-12,40,Cancelled,4986800,GO-CLEAN
2016-03-12,290,Completed,39748800,GO-CLEAN
2016-03-12,20,No Driver Found,3239600,GO-CLEAN
2016-03-12,10,Other,873600,GO-CLEAN
2016-03-13,40,Cancelled,4950400,GO-CLEAN
2016-03-13,290,Completed,39712400,GO-CLEAN
2016-03-13,30,No Driver Found,3458000,GO-CLEAN
2016-03-13,10,Other,728000,GO-CLEAN
2016-03-14,30,Cancelled,3494400,GO-CLEAN
2016-03-14,180,Completed,23842000,GO-CLEAN
2016-03-14,0,No Driver Found,400400,GO-CLEAN
2016-03-14,0,Other,291200,GO-CLEAN
2016-03-15,20,Cancelled,2657200,GO-CLEAN
2016-03-15,170,Completed,23004800,GO-CLEAN
2016-03-15,0,No Driver Found,364000,GO-CLEAN
2016-03-15,0,Other,145600,GO-CLEAN
2016-03-16,20,Cancelled,2002000,GO-CLEAN
2016-03-16,170,Completed,22640800,GO-CLEAN
