,device,first_payment_amount,age,city,number_of_cards,payments_initiated,payments_failed,payments_completed,payments_completed_amount_first_7days,reward_purchase_count_first_7days,coins_redeemed_first_7days,is_referral,visits_feature_1,visits_feature_2,given_permission_1,given_permission_2,user_id,is_churned,segment
5149,xiaomi,15,24,Raebarely,0,6,1,2,15,2,3,TRUE,4,1,1,1,36977,0,check
5156,samsung,16,24,East Godavari,1,5,1,2,18,2,10,TRUE,1,1,1,1,177552,0,check
5169,xiaomi,16,24,Chennai,1,2,0,1,16,1,3,FALSE,1,1,1,0,192331,0,check
5292,xiaomi,17,24,NCR,1,5,2,1,17,1,3,FALSE,3,2,1,1,167686,0,check
5353,xiaomi,19,24,Bangalore,0,2,0,1,19,2,20,FALSE,1,1,1,1,252339,0,check
5361,realme,19,24,Mumbai,1,1,0,1,19,2,20,FALSE,2,1,1,1,376449,0,check
5513,samsung,24,24,Secunderabad,1,2,0,2,28,2,3,FALSE,5,3,1,1,271374,0,check
5633,xiaomi,30,24,0,1,3,0,1,30,2,20,FALSE,1,1,1,1,335304,0,check
5678,oneplus,33,24,Bangalore,1,1,0,1,0,2,20,FALSE,1,2,1,1,500827,0,check
5679,xiaomi,33,24,Kozhikode,0,4,1,2,0,4,40,FALSE,2,1,1,1,100454,0,check
5693,oppo,33,24,Jalandhar,2,3,0,1,33,2,20,FALSE,1,1,1,1,293143,0,check
5740,samsung,34,24,Hyderabad,1,2,0,1,34,2,20,FALSE,1,1,1,1,204172,0,check
5784,oneplus,36,24,Bangalore,0,4,0,1,36,2,20,FALSE,3,2,1,1,10468,0,check
5807,xiaomi,38,24,Rajkot,2,3,0,2,46,3,23,FALSE,1,1,1,1,491079,0,check
5820,hmd global,39,24,NCR,0,2,0,1,39,2,20,FALSE,3,1,1,1,23050,0,check
5840,xiaomi,40,24,Bangalore,2,2,0,1,40,1,3,FALSE,1,1,0,1,234549,0,check
5899,xiaomi,44,24,NCR,2,1,0,1,44,2,20,FALSE,1,2,1,1,101274,0,check
5912,xiaomi,46,24,Bangalore,1,7,3,2,88,2,20,FALSE,1,1,1,1,96,0,check
5931,oppo,48,24,Hyderabad,1,7,2,2,103,4,40,TRUE,1,1,1,1,72135,0,check
5972,xiaomi,50,24,Hyderabad,1,4,0,1,50,2,20,FALSE,3,1,1,1,28737,0,check
6061,oneplus,59,24,Mumbai,1,4,1,1,59,1,3,FALSE,1,1,1,1,6571,0,check
6064,xiaomi,59,24,Hyderabad,1,1,0,1,0,2,20,FALSE,2,1,1,1,354250,0,check
6081,samsung,62,24,Jaipur,0,5,1,1,62,2,20,FALSE,5,1,1,1,414475,0,check
6109,vivo,66,24,Hyderabad,0,1,0,1,66,2,20,FALSE,1,1,1,1,328456,0,check
6194,apple,78,24,Pune,1,3,1,1,0,3,70,FALSE,1,1,1,1,234554,0,check
6240,oneplus,90,24,Bangalore,1,2,0,1,90,1,3,FALSE,1,1,1,1,34392,0,check
6246,oneplus,91,24,Hyderabad,1,2,1,1,91,1,3,FALSE,1,1,1,1,150478,0,check
6307,apple,118,24,Tiruvarur,1,3,1,1,118,1,3,FALSE,1,1,1,0,69171,0,check
6318,xiaomi,122,24,Hyderabad,1,6,2,2,167,2,133,TRUE,1,2,1,1,9000,0,check
6369,samsung,187,24,NCR,4,2,0,2,242,4,203,FALSE,1,1,1,1,314486,0,check
6374,oneplus,200,24,Bangalore,0,2,0,1,200,2,20,FALSE,1,1,1,1,148393,0,check
6383,samsung,249,24,Bhubaneshwar,2,2,0,1,249,4,170,FALSE,4,1,1,1,356699,0,check
7918,vivo,1,25,Warangal,0,5,3,2,14,1,3,FALSE,1,1,1,1,92553,0,check
7986,apple,2,25,0,1,4,0,2,79,1,53,FALSE,2,1,1,1,152971,0,check
8136,motorola,2,25,Hyderabad,1,3,0,2,7,1,3,FALSE,1,2,1,1,208045,0,check
8177,google,3,25,Jalandhar,0,3,1,1,3,1,3,FALSE,5,1,1,0,37377,0,check
8231,oneplus,3,25,Cuttack,1,6,0,2,8,2,7,FALSE,1,4,1,1,32062,0,check
8240,vivo,3,25,NCR,6,4,0,2,7,1,3,FALSE,1,1,1,1,108882,0,check
8252,oneplus,3,25,Bangalore,1,4,2,2,44,2,33,FALSE,1,1,1,1,336086,0,check
8276,oppo,3,25,NCR,1,2,0,1,3,1,3,FALSE,1,1,1,1,358508,0,check
8397,samsung,3,25,Ahmedabad,1,5,2,2,14,2,3,TRUE,1,1,1,1,410890,0,check
8419,oneplus,4,25,Mumbai,1,1,0,1,4,1,3,FALSE,2,1,1,1,20152,0,check
8437,samsung,4,25,Gorakhpur,3,1,0,1,4,1,3,FALSE,1,1,1,0,238993,0,check
8476,oneplus,4,25,Chitradurga,1,1,0,1,4,1,3,FALSE,1,2,1,1,362624,0,check
8532,huawei,5,25,Chhindwara,1,1,0,1,5,1,3,FALSE,1,1,1,0,6365,0,check
8573,oneplus,5,25,Hyderabad,0,2,1,1,5,1,3,FALSE,1,3,1,1,27567,0,check
8581,oneplus,5,25,NCR,0,2,0,1,5,1,3,FALSE,2,2,1,1,11933,0,check
8749,huawei,7,25,Kolkata,0,2,0,1,0,1,3,FALSE,1,1,1,1,213309,0,check
8783,asus,7,25,Pune,0,1,0,1,7,1,3,FALSE,1,1,1,1,4739,0,check
8806,lenovo,7,25,Warangal,1,5,0,2,14,2,7,FALSE,1,1,1,0,1106,0,check
8839,xiaomi,7,25,Bangalore,1,2,0,2,24,2,3,TRUE,2,1,1,1,27935,0,check
8901,oneplus,8,25,Bangalore,2,4,0,2,25,3,23,FALSE,1,1,1,1,100440,0,check
8971,motorola,9,25,Kolkata,0,4,0,1,9,1,3,FALSE,1,2,1,1,181013,0,check
8995,oneplus,9,25,Bangalore,1,3,0,1,9,1,3,FALSE,1,1,1,1,414364,0,check
8996,oneplus,9,25,0,0,1,0,1,0,1,3,FALSE,1,1,1,1,4176,0,check
9022,huawei,9,25,Bangalore,2,1,0,1,9,1,3,FALSE,1,1,1,1,364555,0,check
9062,xiaomi,10,25,Mumbai,1,2,0,2,11,1,3,FALSE,1,1,1,1,195413,0,check
9169,realme,11,25,Surat,1,3,0,2,22,2,23,FALSE,3,2,1,1,246504,0,check
9172,apple,11,25,NCR,0,3,0,2,18,1,3,FALSE,1,1,1,1,403683,0,check
9184,oneplus,11,25,Visakhapatnam,2,3,2,1,11,1,3,FALSE,1,1,1,1,43495,0,check
9193,apple,11,25,Surat,1,1,0,1,11,1,3,FALSE,1,2,1,1,157998,0,check
9297,realme,13,25,Nagpur,0,2,0,1,13,1,3,FALSE,4,2,1,1,327233,0,check
9312,samsung,13,25,Nalgonda,1,4,0,2,110,2,7,FALSE,3,2,1,1,297751,0,check
9351,hmd global,13,25,0,1,4,1,1,0,1,3,FALSE,2,1,1,1,161354,0,check
9353,xiaomi,13,25,0,0,1,0,1,13,1,3,FALSE,1,2,1,1,7249,0,check
9369,motorola,13,25,Bangalore,1,4,1,2,15,1,3,TRUE,2,1,1,1,276725,0,check
9382,oneplus,14,25,Kolkata,0,1,0,1,14,1,3,FALSE,2,1,1,1,34842,0,check
9411,oneplus,14,25,NCR,1,1,0,1,14,1,3,FALSE,1,1,1,1,371879,0,check
9414,oneplus,14,25,Vadodara,1,3,1,1,14,1,3,FALSE,1,1,1,1,459845,0,check
9436,motorola,15,25,Bangalore,0,9,6,1,15,2,3,FALSE,1,1,1,1,366358,0,check
9476,oneplus,16,25,Bangalore,1,4,0,1,16,2,3,FALSE,1,1,1,1,62797,0,check
9511,oneplus,16,25,Vijayawada,1,3,0,1,16,1,3,FALSE,4,1,1,1,394086,0,check
9522,xiaomi,17,25,Ajmer,0,3,0,2,17,2,20,FALSE,1,2,1,0,435526,0,check
9554,xiaomi,17,25,Sonipat,1,1,0,1,17,1,3,FALSE,1,1,1,1,337583,0,check
9627,oneplus,17,25,Hyderabad,1,6,3,2,226,3,183,FALSE,2,1,1,1,409110,0,check
9684,oneplus,17,25,Jaipur,0,6,3,2,26,1,3,TRUE,1,3,0,1,355690,0,check
9714,xiaomi,18,25,Anantapur,0,2,0,2,18,2,20,FALSE,1,1,1,1,35452,0,check
9779,apple,20,25,Mumbai,2,2,1,1,20,2,20,FALSE,2,3,1,1,100645,0,check
9843,xiaomi,21,25,Surat,0,14,3,1,21,2,20,FALSE,2,2,1,0,438281,0,check
10031,xiaomi,27,25,Pune,2,2,0,1,27,2,20,FALSE,1,1,1,1,317030,0,check
10089,xiaomi,28,25,Bangalore,1,5,2,1,28,2,20,FALSE,4,1,1,1,326636,0,check
10110,xiaomi,29,25,NCR,1,1,0,1,29,2,20,FALSE,2,1,1,1,61816,0,check
10129,samsung,29,25,Anantapur,1,3,1,1,29,2,20,FALSE,2,1,1,1,172379,0,check
10185,xiaomi,32,25,NCR,2,3,0,2,32,3,20,TRUE,1,1,1,1,357710,0,check
10235,apple,33,25,Hyderabad,1,4,0,2,35,1,3,FALSE,5,1,1,1,3022,0,check
10240,xiaomi,33,25,Bangalore,2,1,0,1,33,1,3,FALSE,1,2,1,1,166517,0,check
10264,apple,33,25,Pune,1,5,1,1,33,2,20,FALSE,1,2,1,1,5449,0,check
10351,samsung,36,25,Bangalore,1,5,1,2,36,4,37,TRUE,1,1,1,1,216631,0,check
10462,oneplus,42,25,NCR,2,1,0,1,42,2,20,FALSE,4,2,1,1,342371,0,check
10479,oppo,43,25,NCR,1,4,0,1,0,4,20,FALSE,3,1,1,1,498796,0,check
10526,samsung,46,25,Mumbai,0,2,0,2,202,6,90,TRUE,1,1,1,1,22094,0,check
10576,oneplus,48,25,Mumbai,1,1,0,1,48,4,20,FALSE,1,1,1,1,467605,0,check
10578,google,48,25,Bangalore,0,1,0,1,48,1,20,FALSE,1,1,1,1,440509,0,check
10585,oneplus,49,25,Mumbai,2,1,0,1,0,2,20,FALSE,3,1,1,1,19606,0,check
10596,xiaomi,50,25,Mumbai,1,4,2,2,73,4,57,FALSE,4,1,1,1,321824,0,check
10605,xiaomi,50,25,Burdwan,1,8,4,1,50,2,20,FALSE,1,1,1,1,193370,0,check
10660,vivo,53,25,Bangalore,0,6,3,2,56,2,37,FALSE,2,1,1,0,469871,0,check
10663,samsung,53,25,Ahmedabad,1,1,0,1,53,2,20,FALSE,1,1,1,1,18015,0,check
10680,xiaomi,55,25,Ratnagiri,2,3,0,1,55,2,20,FALSE,1,2,1,1,469308,0,check
10702,hmd global,56,25,Ahmedabad,2,3,1,1,56,2,20,FALSE,1,1,1,1,251746,0,check
10717,vivo,58,25,Muzaffarpur,3,2,0,1,58,1,20,FALSE,1,1,1,0,462626,0,check
10745,samsung,60,25,NCR,1,8,0,1,60,2,20,FALSE,2,1,1,1,334736,0,check
10804,oneplus,67,25,Mumbai,0,9,2,2,133,4,123,FALSE,6,4,0,1,280139,0,check
10958,xiaomi,83,25,Kanchipuram,1,1,0,1,83,3,70,FALSE,1,1,0,1,52775,0,check
11007,xiaomi,94,25,Kolkata,0,2,0,1,94,3,70,FALSE,1,1,1,1,417192,0,check
11013,oppo,95,25,Chandigarh,1,3,1,2,119,3,120,FALSE,1,1,1,1,281481,0,check
11049,samsung,102,25,Mayurbhanj,1,2,0,1,102,2,20,FALSE,1,1,1,1,296817,0,check
11114,xiaomi,121,25,Hyderabad,2,3,1,1,121,3,70,FALSE,1,1,1,1,24366,0,check
11115,hmd global,122,25,Ludhiana,1,3,0,2,222,2,20,FALSE,1,1,1,1,7354,0,check
11218,xiaomi,172,25,Kolkata,0,1,0,1,172,1,3,FALSE,1,1,1,0,30686,0,check
11220,apple,176,25,Ludhiana,0,1,0,1,176,1,3,FALSE,1,1,1,0,102015,0,check
11235,oneplus,188,25,Bangalore,1,2,1,1,188,1,67,FALSE,1,1,0,1,485368,0,check
11249,xiaomi,239,25,NCR,4,1,0,1,239,3,70,FALSE,1,1,1,1,326865,0,check
13407,oneplus,2,26,Thiruvananthapuram,2,3,1,2,51,2,37,FALSE,1,1,1,1,218700,0,check
13479,lenovo,2,26,Barauda,2,10,2,2,29,2,20,FALSE,1,2,1,1,437612,0,check
13648,realme,3,26,Kanayakumari,0,2,0,2,7,2,7,FALSE,1,1,0,1,13317,0,check
13656,apple,3,26,Kanchipuram,0,1,0,1,3,1,3,FALSE,1,1,1,1,169811,0,check
13708,oneplus,3,26,Hyderabad,0,5,0,2,249,7,203,TRUE,1,2,1,1,11055,0,check
13827,realme,3,26,Hyderabad,1,4,0,2,7,2,7,TRUE,1,1,1,1,34601,0,check
13856,xiaomi,3,26,Jaipur,2,3,0,2,31,3,23,FALSE,2,1,1,1,335700,0,check
13992,vivo,4,26,Rajkot,1,3,0,2,188,5,173,FALSE,1,1,1,1,150339,0,check
13996,oneplus,4,26,Shimoga,0,4,1,2,65,3,23,FALSE,2,3,1,1,300748,0,check
14065,apple,5,26,Mumbai,1,2,1,1,5,1,3,FALSE,1,1,1,1,64682,0,check
14106,vivo,5,26,Hyderabad,1,3,0,2,0,1,3,FALSE,1,2,1,1,3911,0,check
14122,vivo,5,26,Bangalore,0,1,0,1,5,1,3,FALSE,1,1,1,1,420011,0,check
14135,xiaomi,5,26,NCR,0,1,0,1,5,1,3,FALSE,2,1,1,1,184449,0,check
14150,motorola,5,26,Hyderabad,0,1,0,1,5,1,3,FALSE,1,1,1,1,491847,0,check
14175,xiaomi,5,26,RAIPUR,1,1,0,1,0,1,3,FALSE,1,1,1,1,242373,0,check
14202,apple,6,26,Mumbai,2,2,0,2,9,1,3,FALSE,1,1,1,1,228298,0,check
14207,xiaomi,6,26,NCR,1,1,0,1,6,1,3,FALSE,1,1,1,1,21970,0,check
14214,samsung,6,26,Kanchipuram,2,3,0,2,43,3,23,FALSE,3,1,1,1,162887,0,check
14369,xiaomi,7,26,Hyderabad,0,2,0,2,9,1,3,FALSE,1,1,1,1,84815,0,check
14465,motorola,7,26,Osmanabad,1,5,1,1,7,1,3,FALSE,2,1,1,1,85081,0,check
14466,xiaomi,7,26,Hyderabad,0,4,0,2,8,1,3,FALSE,1,1,1,0,5054,0,check
14654,xiaomi,9,26,Bangalore,1,1,0,1,9,1,3,FALSE,2,1,1,1,344121,0,check
14667,oneplus,9,26,0,1,1,0,1,0,1,3,FALSE,1,1,1,1,223439,0,check
14672,oneplus,9,26,Imphal,0,2,0,1,9,1,3,FALSE,1,1,1,1,312446,0,check
14691,xiaomi,10,26,Hoshiarpur,1,1,0,1,10,1,7,FALSE,1,1,1,1,429762,0,check
14796,xiaomi,10,26,Kharagpur,1,3,0,2,10,1,3,FALSE,3,1,1,1,266333,0,check
14836,xiaomi,11,26,NCR,10,2,0,2,12,1,3,FALSE,2,1,1,1,427776,0,check
14844,xiaomi,11,26,Junagadh,2,4,1,2,47,3,23,FALSE,1,1,1,1,391077,0,check
14853,xiaomi,11,26,Vijayawada,1,1,0,1,11,1,3,FALSE,1,1,1,1,254512,0,check
14880,motorola,11,26,Bangalore,1,1,0,1,11,1,3,FALSE,1,1,1,1,469912,0,check
14953,xiaomi,12,26,Bangalore,2,2,0,2,39,3,23,TRUE,1,1,0,1,162571,0,check
14970,oneplus,13,26,NCR,2,4,2,2,13,1,3,FALSE,1,1,1,0,439782,0,check
15042,oneplus,13,26,vadodara,3,3,0,2,75,3,23,FALSE,1,1,1,1,44473,0,check
15049,xiaomi,13,26,Hyderabad,0,3,0,2,24,3,7,FALSE,3,2,1,1,33067,0,check
15056,samsung,13,26,Bangalore,1,3,0,2,33,2,7,FALSE,1,1,1,1,73753,0,check
15147,motorola,15,26,Palakkad,1,2,0,2,15,1,3,FALSE,2,1,1,1,214537,0,check
15204,oneplus,16,26,Mumbai,0,1,0,1,16,1,3,FALSE,2,1,1,1,47169,0,check
15208,google,16,26,Vijayawada,0,1,0,1,16,1,3,FALSE,1,2,0,1,160655,0,check
15240,apple,16,26,Mumbai,4,1,0,1,16,1,3,FALSE,1,1,1,0,440071,0,check
15288,oppo,17,26,0,1,4,2,2,271,6,190,FALSE,1,1,1,1,502876,0,check
15326,samsung,17,26,Kanchipuram,0,5,3,2,30,3,23,TRUE,1,1,1,0,10456,0,check
